Date,NumberOfPassengers
12/13/2021,1912915
12/14/2021,1520251
12/15/2021,1762920
12/16/2021,2062579
12/17/2021,2233754
12/18/2021,2035273
12/19/2021,2118528
12/20/2021,2098540
12/21/2021,1979089
12/22/2021,2081297
12/23/2021,2187792
12/24/2021,1709601
12/25/2021,1533398
12/26/2021,2070554
12/27/2021,2089186
12/28/2021,1995747
12/29/2021,2017937
12/30/2021,2049604
12/31/2021,1650795
1/1/2022,1616316
1/2/2022,2023309
1/3/2022,1916499
1/4/2022,1666715
1/5/2022,1493235
1/6/2022,1533544
1/7/2022,1502714
1/8/2022,1449698
1/9/2022,1693518
1/10/2022,1449550
1/11/2022,1125952
1/12/2022,1231419
1/13/2022,1541835
1/14/2022,1728383
1/15/2022,1403734
1/16/2022,1379403
1/17/2022,1699242
1/18/2022,1301462
1/19/2022,1201583
1/20/2022,1471161
1/21/2022,1514369
1/22/2022,1241792
1/23/2022,1648529
1/24/2022,1397281
1/25/2022,1059741
1/26/2022,1198339
1/27/2022,1555773
1/28/2022,1632406
1/29/2022,1070691
1/30/2022,1714280
1/31/2022,1537573
2/1/2022,1200580
2/2/2022,1192973
2/3/2022,1339533
2/4/2022,1577790
2/5/2022,1399444
2/6/2022,1785846
2/7/2022,1591438
2/8/2022,1232591
2/9/2022,1386325
2/10/2022,1782705
2/11/2022,1914374
2/12/2022,1534080
2/13/2022,1815824
2/14/2022,1731473
2/15/2022,1479653
2/16/2022,1656217
2/17/2022,1977756
2/18/2022,2241123
2/19/2022,1826392
2/20/2022,2067788
2/21/2022,2215453
2/22/2022,1780987
2/23/2022,1752841
2/24/2022,1980803
2/25/2022,2098325
2/26/2022,1840996
2/27/2022,2145281
2/28/2022,1979422
3/1/2022,1635546
3/2/2022,1738406
3/3/2022,2038115
3/4/2022,2132807
3/5/2022,1830246
3/6/2022,2180940
3/7/2022,2017973
3/8/2022,1644052
3/9/2022,1844208
3/10/2022,2184044
3/11/2022,2297374
3/12/2022,1990954
3/13/2022,2288800
3/14/2022,2200172
3/15/2022,1858773
3/16/2022,1993734
3/17/2022,2221946
3/18/2022,2308212
3/19/2022,2099056
3/20/2022,2366751
3/21/2022,2158280
3/22/2022,1856872
3/23/2022,1962056
3/24/2022,2234353
3/25/2022,2290587
3/26/2022,2009500
3/27/2022,2307110
3/28/2022,2131678
3/29/2022,1736292
3/30/2022,1887350
3/31/2022,2196867
4/1/2022,2271659
4/2/2022,1913117
4/3/2022,2204115
4/4/2022,2139084
4/5/2022,1848862
4/6/2022,1978691
4/7/2022,2216218
4/8/2022,2318977
4/9/2022,1946502
4/10/2022,2293548
4/11/2022,2181446
4/12/2022,1883294
4/13/2022,2040285
4/14/2022,2337501
4/15/2022,2311092
4/16/2022,1894331
4/17/2022,2214519
4/18/2022,2288902
4/19/2022,1979882
4/20/2022,2027836
4/21/2022,2279905
4/22/2022,2293242
4/23/2022,1826772
4/24/2022,2293427
4/25/2022,2182717
4/26/2022,1863020
4/27/2022,1996601
4/28/2022,2258077
4/29/2022,2275133
4/30/2022,1877559
5/1/2022,2263646
5/2/2022,2136427
5/3/2022,1764745
5/4/2022,1953128
5/5/2022,2234701
5/6/2022,2279258
5/7/2022,1869222
5/8/2022,2248861
5/9/2022,2231804
5/10/2022,1900738
5/11/2022,2025161
5/12/2022,2327671
5/13/2022,2352035
5/14/2022,1979713
5/15/2022,2395894
5/16/2022,2278197
5/17/2022,2036479
5/18/2022,2097515
5/19/2022,2348193
5/20/2022,2346625
5/21/2022,1988843
5/22/2022,2350927
5/23/2022,2329044
5/24/2022,2020742
5/25/2022,2147736
5/26/2022,2379860
5/27/2022,2384721
5/28/2022,1994151
5/29/2022,2096466
5/30/2022,2312179
5/31/2022,2108054
6/1/2022,1999087
6/2/2022,2213168
6/3/2022,2332592
6/4/2022,1981408
6/5/2022,2387196
6/6/2022,2279743
6/7/2022,2052377
6/8/2022,2155747
6/9/2022,2371014
6/10/2022,2364754
